id,neighbourhood_group,room_type,price,rating,bedrooms,beds,baths,reviews_per_month,price_pred,residual,RPI,EI,RPI_by_neigh_group
53415549,Bronx,Entire home/apt,160,4.98,2,2,1,2.14,175.00829566281973,-15.00829566,-0.145352311,0.28979591832791896,-0.225177138
741073115729920154,Brooklyn,Private room,65,4.73,1,1,1,2.24,87.91106893275602,-22.91106893,-0.221889074,0.16433308768133142,-0.240622799
36663696,Manhattan,Entire home/apt,140,4.86,2,2,1,1.32,242.77479462873416,-102.7747946,-0.995353121,0.017355590884772714,-0.804110135
581427869630920755,Brooklyn,Private room,53,5,1,1,2,1.75,148.8937718,-95.89377183,-0.928711806,0.12822402357198054,-1.0071214
50973336,Brooklyn,Entire home/apt,500,5,2,2,1,0.28,205.1922721919908,294.8077278080092,2.8551532810059204,0.019896831243928017,3.0962091264477496
26554937,Queens,Entire home/apt,60,4.9,2,3,1,1.3,196.06871150342022,-136.0687115,-1.31779798,0.077430972,-1.914918684
696460039951904084,Queens,Private room,53,3.83,1,1,1,1.39,27.34191492,25.65808508,0.24849337001006178,0.082833133,0.3610907016980008
710890195983972232,Manhattan,Entire home/apt,150,,3,4,2,0.15,,,,0.001854796,
31290477,Brooklyn,Entire home/apt,223,4.78,0,1,2,0.38,162.4636844600043,60.53631553999571,0.5862819852761727,0.027266028,0.6357807987262902
43251517,Brooklyn,Private room,53,4.33,1,1,1,0.13,71.33252460016433,-18.3325246,-0.177546797,0.008843036,-0.192536778
554471299013397318,Brooklyn,Private room,39,,1,1,1,0.08,,,,0.005158438,
780581884632621531,Queens,Private room,102,4.98,1,1,1.5,3.64,99.90132261635637,2.0986773836436328,0.020325266444834223,0.21788715484886634,0.029535052474341725
542677269372360032,Manhattan,Entire home/apt,75,4.63,0,1,1,0.37,149.83955781686421,-74.83955782,-0.724805997,0.004769475,-0.585544804
863994418425862340,Queens,Private room,58,5,1,1,1,1.37,75.83415709720164,-17.8341571,-0.172720208,0.081632653,-0.2509832
49534489,Queens,Private room,165,4.8,1,1,1,2.59,67.54488493,97.45511507,0.9438330996585967,0.15486194476861573,1.3715028140497032
19915657,Queens,Private room,44,4.81,1,1,2,1.49,117.75153401078919,-73.75153401,-0.714268706,0.088835534,-1.037918188
18736484,Queens,Private room,69,4.86,1,1,1,0.78,70.03166658079456,-1.031666581,-0.009991482,0.046218487,-0.014518824
11619832,Manhattan,Shared room,150,4.49,1,2,1,1.32,127.04289224430372,22.957107755696285,0.22233495037070095,0.017355590884772714,0.1796164428040354
3769052,Bronx,Private room,45,4.66,1,1,1,0.77,55.65477436201094,-10.65477436,-0.103189337,0.10340136053014946,-0.15985903
766185201488093082,Queens,Private room,268,4.9,3,3,2,2.21,223.17278496088312,44.82721503911688,0.4341425207844388,0.13205282112052505,0.6308612075269326
691352072367698800,Queens,Private room,70,4.83,1,1,1,6.47,68.78827575585018,1.2117242441498206,0.011735304488431844,0.3877551020175417,0.017052806407694042
35595727,Brooklyn,Entire home/apt,149,4.94,1,4,1,0.3,206.7254652683649,-57.72546527,-0.559059468,0.021370671,-0.60625993
53879568,Manhattan,Private room,80,5,1,1,1.5,0.41,167.38269204619013,-87.38269205,-0.846283718,0.005299417,-0.683682303
820710,Brooklyn,Private room,94,4.74,1,1,1,1.31,88.32553254,5.674467459,0.054956071,0.095799558,0.059595921
53358798,Brooklyn,Private room,40,,1,1,1,0.05,,,,0.002947679,
9182008,Queens,Entire home/apt,159,4.74,2,2,1,0.51,171.1487891157525,-12.14878912,-0.117658568,0.030012004800119327,-0.170972026
873460455740000460,Bronx,Entire home/apt,75,4.67,1,1,1,0.61,111.31438456743078,-36.31438457,-0.351697478,0.081632653,-0.544843289
792894603379980524,Brooklyn,Private room,45,4.67,1,1,1,0.38,85.42428728286725,-40.42428728,-0.391501055,0.027266028,-0.424554838
43251603,Brooklyn,Private room,50,,1,1,1,0.04,,,,0.002210759,
26255072,Queens,Private room,91,4.58,1,1,1,1.37,58.426685547980384,32.573314452019616,0.3154659693707138,0.081632653,0.45840992955786286
52618610,Manhattan,Entire home/apt,199,4.67,0,1,1,0.26,151.49741225012338,47.502587749876625,0.4600529649571027,0.003312136,0.37166031219683704
7086310,Manhattan,Private room,89,4.81,2,1,1,1.49,167.1688253354241,-78.16882534,-0.75704928,0.019607843136995127,-0.611592997
1263964,Manhattan,Private room,127,4.78,1,1,1,2.31,133.3683999274804,-6.368399927,-0.061676667,0.030471648118303243,-0.04982637
50132200,Bronx,Entire home/apt,239,4.56,2,7,1,1.66,249.04334738675374,-10.04334739,-0.09726779,0.2244897958878245,-0.150685479
4020425,Bronx,Private room,95,4.69,1,1,1.5,0.4,81.79425792273963,13.205742077260368,0.12789494393638498,0.053061224482576705,0.19813250396635934
8651132,Brooklyn,Private room,38,4.29,1,1,1,0.28,69.67467016690517,-31.67467017,-0.306762781,0.019896831243928017,-0.332662253
269283,Brooklyn,Private room,68,4.84,1,1,1,0.25,92.47016862,-24.47016862,-0.236988639,0.017686072216824902,-0.256997196
888393397093662974,Manhattan,Entire home/apt,100,,2,2,1,0.19,,,,0.002384738,
586134404471254679,Queens,Entire home/apt,150,4.29,2,3,1,0.36,170.78643139621792,-20.7864314,-0.201312388,0.021008403360083527,-0.292531071
819893,Manhattan,Private room,95,4.59,1,1,1,0.57,125.49359136949934,-30.49359137,-0.295324272,0.007419184,-0.238581901
34501332,Manhattan,Private room,76,4.91,1,1,1,0.6,138.7564268355727,-62.75642684,-0.607783315,0.00781664,-0.49100637
41940305,Manhattan,Entire home/apt,169,4.54,2,3,1,1.81,247.80046381729187,-78.80046382,-0.763166571,0.023847377,-0.616534938
54123359,Queens,Entire home/apt,222,4.3,3,3,2,1.4,253.55011505910062,-31.55011506,-0.30555649,0.083433373,-0.444010266
828975443887378700,Queens,Entire home/apt,80,,1,1,1,0.12,,,,0.006602641,
29967433,Manhattan,Private room,65,4.78,1,1,1,1.21,133.3683999274804,-68.36839993,-0.66213414,0.015898251,-0.534914456
35948933,Manhattan,Private room,110,5,1,1,1,0.17,142.4865993104058,-32.48659931,-0.314626151,0.002119767,-0.254175198
620569593739163094,Manhattan,Private room,180,5,1,1,1,1.56,142.4865993104058,37.51340068959419,0.3633097064889233,0.020535241,0.29350489883356273
52169355,Queens,Entire home/apt,114,4.88,0,1,1,1.84,93.54870581152986,20.451294188470143,0.19806665224551048,0.10984393756843674,0.28781462635969474
720182762767765576,Manhattan,Private room,83,4.89,1,1,1,2.3,137.9274996189431,-54.92749962,-0.531961736,0.030339163,-0.429752833
611156,Manhattan,Private room,60,5,1,1,1,1.72,142.4865993104058,-82.48659931,-0.798866049,0.022655007948825454,-0.645375267
15772750,Brooklyn,Entire home/apt,140,4.84,1,1,1,0.68,147.71531522132375,-7.715315221,-0.074721269,0.049373618271969524,-0.081029862
570315741712078963,Brooklyn,Entire home/apt,220,5,1,1,1,0.49,154.34673295436042,65.65326704563958,0.6358386267818578,0.035372144433649805,0.6895214250971252
13098705,Manhattan,Entire home/apt,350,4.71,1,1,1,0.46,185.7123012663819,164.2876987336181,1.5910931696257367,0.005961844,1.285387181913912
819228,Manhattan,Private room,99,4.68,1,1,1,0.52,129.22376384433247,-30.22376384,-0.292711046,0.006756757,-0.23647077
1030617941912077262,Bronx,Private room,51,5,1,2,2,2.43,137.82722717091352,-86.82722717,-0.840904153,0.329251701,-1.302713307
